Company name,OSIRIS Identification Number,count_records
BANCO CANARIAS DE VENEZUELA CA,VE47183,4
BANCO CENCOSUD SA,PE51296,3
BANCO COFIDIS SA,PT17547,3
BANCO COLPATRIA MULTIBANCA COLPATRIA SA - BANCO COLPATRIA RED MULTIBANCA,CO47214,5
BANCO COLPATRIA MULTIBANCA COLPATRIA SA - BANCO COLPATRIA RED MULTIBANCA,COABE48,8
BANCO COMERCIAL AV VILLAS SA,CO19771,5
BANCO COMERCIAL AV VILLAS SA,COA9002,5
BANCO COMERCIAL DO ATLANTICO SA,CV47694,5
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",PT22503,3
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",PT22541,5
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",PTA1CE5,3
BANCO COMPARTAMOS SA DE CV - COMPARTAMOSBANCO,MX39111,5
BANCO CONFEDERADO SA,VE47199,4
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,PE17078,12
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,PE33974,5
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,PEA5EE5,17
BANCO CONTINENTAL S.A.,PY33919,3
BANCO CONTINENTAL SA,HN29181,2
BANCO CONTINENTAL SA,HN42782,5
BANCO CORPBANCA COLOMBIA SA,CO30042,5
BANCO CORPBANCA COLOMBIA SA,CO53649,4
BANCO CORPBANCA COLOMBIA SA,CODBC1B,12
"BANCO CUSCATLAN DE EL SALVADOR, S.A.",SV30396,5
"BANCO CUSCATLAN DE EL SALVADOR, S.A.",SVACA5D,9
BANCO DA AMAZONIA SA,BR44001,2
BANCO DA AMAZONIA SA,BR52908,5
BANCO DA AMAZONIA SA,BRA7C5F,16
BANCO DAVIVIENDA,CO46301,3
BANCO DAVIVIENDA,COCD3A4,10
BANCO DAVIVIENDA HONDURAS SA,HN19813,3
BANCO DAVIVIENDA HONDURAS SA,HN33339,6
BANCO DAVIVIENDA HONDURAS SA,HNAFAC5,17
"BANCO DAVIVIENDA SALVADORENO, SA",SV30392,5
"BANCO DAVIVIENDA SALVADORENO, SA",SVACEEA,14
BANCO DAYCOVAL SA,BR44002,5
BANCO DAYCOVAL SA,BRAF1D1,12
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,HN16322,3
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,HN43089,6
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,HNAFAC0,15
BANCO DE AMERICA CENTRAL SA,SV49351,5
BANCO DE BOGOTA SA,CO30076,2
BANCO DE BOGOTA SA,CO40508,4
BANCO DE BOGOTA SA,COA7155,15
BANCO DE CHILE SA,CL45598,3
BANCO DE CHILE SA,CLA36DA,17
BANCO DE COMERCIO,PE30693,5
BANCO DE COMERCIO,PEA7707,16
BANCO DE COMERCIO EXTERIOR DE COLOMBIA SA - BANCOLDEX,CO37000,5
BANCO DE CREDITO DEL PERU,PE30901,5
BANCO DE CREDITO DEL PERU,PE49126,12
BANCO DE CREDITO DEL PERU,PEA5BD2,17
BANCO DE CREDITO E INVERSIONES - BCI,CL46590,5
BANCO DE CREDITO E INVERSIONES - BCI,CLA71AA,16
BANCO DE DESARROLLO PRODUCTIVO S.A.M - BDP SAM,BO29063,3
BANCO DE FOMENTO AGROPECUARIO,SV49352,3
BANCO DE GALICIA Y BUENOS AIRES SA,AR32836,3
BANCO DE GALICIA Y BUENOS AIRES SA,AR42250,5
BANCO DE GUAYAQUIL SA,EC15266,4
BANCO DE GUAYAQUIL SA,EC30844,5
BANCO DE GUAYAQUIL SA,ECB2872,12
"BANCO DE HONDURAS, SA",HN43086,6
"BANCO DE HONDURAS, SA",HN53545,3
"BANCO DE HONDURAS, SA",HNB2978,17
BANCO DE LA PRODUCCION SA - PRODUBANCO - GRUPO FINANCIERO PRODUCCION,EC31574,2
BANCO DE LA PRODUCCION SA - PRODUBANCO - GRUPO FINANCIERO PRODUCCION,EC49768,4
BANCO DE OCCIDENTE,CO27881,8
BANCO DE OCCIDENTE,CO30046,3
BANCO DE OCCIDENTE,COA7A26,5
"BANCO DE OCCIDENTE, S.A.",HN18944,3
"BANCO DE OCCIDENTE, S.A.",HN33950,6
"BANCO DE OCCIDENTE, S.A.",HNB2979,17
BANCO DE SABADELL SA,ES22675,3
BANCO DE SABADELL SA,ES23370,5
"BANCO DE VENEZUELA, S.A.C.A.",VE30699,5
"BANCO DE VENEZUELA, S.A.C.A.",VE53061,11
"BANCO DE VENEZUELA, S.A.C.A.",VEA8C8F,13
BANCO DEL CARIBE CA - BANCARIBE,VE42463,5
"BANCO DEL PAIS, SA",HN15786,3
"BANCO DEL PAIS, SA",HN38581,6
"BANCO DEL PAIS, SA",HNAFABF,11
BANCO DI DESIO E DELLA BRIANZA SPA - BANCO DESIO,IT20443,5
BANCO DI DESIO E DELLA BRIANZA SPA - BANCO DESIO,IT41144,5
BANCO DI SARDEGNA SPA,IT20453,5
BANCO DI SARDEGNA SPA,IT21474,5
BANCO DO BRASIL S.A.,BR41090,5
BANCO DO BRASIL S.A.,BRA665F,16
BANCO DO ESTADO DE SERGIPE SA - BANESE,BR13586,2
BANCO DO ESTADO DE SERGIPE SA - BANESE,BR16277,3
BANCO DO ESTADO DE SERGIPE SA - BANESE,BRAA4B3,16
BANCO DO ESTADO DO ESPIRITO SANTO S.A. - BANESTES,BR45113,3
BANCO DO ESTADO DO ESPIRITO SANTO S.A. - BANESTES,BRA7A65,16
BANCO DO ESTADO DO PARA SA - BANPARA,BR16283,3
BANCO DO ESTADO DO PARA SA - BANPARA,BR53393,2
BANCO DO ESTADO DO PARA SA - BANPARA,BRAA514,16
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. BANRISUL,BR45110,5
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. BANRISUL,BRA66F3,17
BANCO DO NORDESTE DO BRAZIL S.A.,BR31019,2
BANCO DO NORDESTE DO BRAZIL S.A.,BR56902,3
BANCO DO NORDESTE DO BRAZIL S.A.,BRA67D3,16
BANCO ESPIRITO SANTO SA,PT22509,3
"BANCO EXTERIOR, C.A. - BANCO UNIVERSAL",VE31029,5
BANCO FALABELLA PERU SA,PE15746,5
BANCO FAMILIAR S.A.E.C.A,PY11503,3
BANCO FINANCIERA CENTROAMERICANA - FICENSA,HN16761,3
