Company name,WVB No,OSIRIS Identification Number,count_records,min_date,max_date
BANCO CANARIAS DE VENEZUELA CA,30064LV,VE47183,4,2005-12-31,2008-12-31
BANCO CENCOSUD SA,30363LP,PE51296,3,2013-12-31,2015-12-31
BANCO COFIDIS SA,PT500280312,PT17547,3,2013-12-31,2015-12-31
BANCO COLPATRIA MULTIBANCA COLPATRIA SA - BANCO COLPATRIA RED MULTIBANCA,30209LL,CO47214,5,2011-12-31,2015-12-31
BANCO COLPATRIA MULTIBANCA COLPATRIA SA - BANCO COLPATRIA RED MULTIBANCA,30209LL,COABE48,8,2007-12-31,2014-12-31
BANCO COMERCIAL AV VILLAS SA,30186LL,CO19771,5,2011-12-31,2015-12-31
BANCO COMERCIAL AV VILLAS SA,30186LL,COA9002,5,2011-12-31,2015-12-31
BANCO COMERCIAL DO ATLANTICO SA,30002QC,CV47694,5,2011-12-31,2015-12-31
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",30016EP,PT22503,3,2013-12-31,2015-12-31
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",30016EP,PT22541,5,2011-12-31,2015-12-31
"BANCO COMERCIAL PORTUGUES, SA - MILLENNIUM BCP",30016EP,PTA1CE5,3,2000-12-31,2002-12-31
BANCO COMPARTAMOS SA DE CV - COMPARTAMOSBANCO,30276LM,MX39111,5,2011-12-31,2015-12-31
BANCO CONFEDERADO SA,30062LV,VE47199,4,2005-12-31,2008-12-31
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,30286LP,PE17078,12,2004-12-31,2015-12-31
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,30286LP,PE33974,5,2011-12-31,2015-12-31
BANCO CONTINENTAL - BBVA BANCO CONTINENTAL,30286LP,PEA5EE5,17,2000-12-31,2016-12-31
BANCO CONTINENTAL S.A.,30021LY,PY33919,3,2013-12-31,2015-12-31
BANCO CONTINENTAL SA,HN42782,HN29181,2,2013-12-31,2014-12-31
BANCO CONTINENTAL SA,HN42782,HN42782,5,2010-12-31,2014-12-31
BANCO CORPBANCA COLOMBIA SA,30109LL,CO30042,5,2011-12-31,2015-12-31
BANCO CORPBANCA COLOMBIA SA,30109LL,CO53649,4,2011-12-31,2014-12-31
BANCO CORPBANCA COLOMBIA SA,30109LL,CODBC1B,12,2001-12-31,2012-12-31
"BANCO CUSCATLAN DE EL SALVADOR, S.A.",30002LS,SV30396,5,2011-12-31,2015-12-31
"BANCO CUSCATLAN DE EL SALVADOR, S.A.",30002LS,SVACA5D,9,2002-12-31,2010-12-31
BANCO DA AMAZONIA SA,30260LB,BR44001,2,2014-12-31,2015-12-31
BANCO DA AMAZONIA SA,30260LB,BR52908,5,2011-12-31,2015-12-31
BANCO DA AMAZONIA SA,30260LB,BRA7C5F,16,2000-12-31,2015-12-31
BANCO DAVIVIENDA,30208LL,CO46301,3,2013-12-31,2015-12-31
BANCO DAVIVIENDA,30208LL,COCD3A4,10,2006-12-31,2015-12-31
BANCO DAVIVIENDA HONDURAS SA,30002LH,HN19813,3,2013-12-31,2015-12-31
BANCO DAVIVIENDA HONDURAS SA,30002LH,HN33339,6,2010-12-31,2015-12-31
BANCO DAVIVIENDA HONDURAS SA,30002LH,HNAFAC5,17,2000-12-31,2016-12-31
"BANCO DAVIVIENDA SALVADORENO, SA",30005LS,SV30392,5,2011-12-31,2015-12-31
"BANCO DAVIVIENDA SALVADORENO, SA",30005LS,SVACEEA,14,2002-12-31,2015-12-31
BANCO DAYCOVAL SA,30016LB,BR44002,5,2011-12-31,2015-12-31
BANCO DAYCOVAL SA,30016LB,BRAF1D1,12,2004-12-31,2015-12-31
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,30011LH,HN16322,3,2013-12-31,2015-12-31
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,30011LH,HN43089,6,2010-12-31,2015-12-31
BANCO DE AMERICA CENTRAL DE HONDURAS S.A,30011LH,HNAFAC0,15,2000-12-31,2016-12-31
BANCO DE AMERICA CENTRAL SA,30021LS,SV49351,5,2011-12-31,2015-12-31
BANCO DE BOGOTA SA,30005LL,CO30076,2,2014-12-31,2015-12-31
BANCO DE BOGOTA SA,30005LL,CO40508,4,2011-12-31,2015-12-31
BANCO DE BOGOTA SA,30005LL,COA7155,15,2001-12-31,2015-12-31
BANCO DE CHILE SA,30863LC,CL45598,3,2013-12-31,2015-12-31
BANCO DE CHILE SA,30863LC,CLA36DA,17,2000-12-31,2016-12-31
BANCO DE COMERCIO,30218LP,PE30693,5,2011-12-31,2015-12-31
BANCO DE COMERCIO,30218LP,PEA7707,16,2000-12-31,2015-12-31
BANCO DE COMERCIO EXTERIOR DE COLOMBIA SA - BANCOLDEX,30207LL,CO37000,5,2011-12-31,2015-12-31
BANCO DE CREDITO DEL PERU,30207LP,PE30901,5,2011-12-31,2015-12-31
BANCO DE CREDITO DEL PERU,30207LP,PE49126,12,2004-12-31,2015-12-31
BANCO DE CREDITO DEL PERU,30207LP,PEA5BD2,17,2000-12-31,2016-12-31
BANCO DE CREDITO E INVERSIONES - BCI,30078LC,CL46590,5,2011-12-31,2015-12-31
BANCO DE CREDITO E INVERSIONES - BCI,30078LC,CLA71AA,16,2000-12-31,2015-12-31
BANCO DE DESARROLLO PRODUCTIVO S.A.M - BDP SAM,30057LO,BO29063,3,2013-12-31,2015-12-31
BANCO DE FOMENTO AGROPECUARIO,SV06140107740025,SV49352,3,2013-12-31,2015-12-31
BANCO DE GALICIA Y BUENOS AIRES SA,30004LA,AR32836,3,2013-12-31,2015-12-31
BANCO DE GALICIA Y BUENOS AIRES SA,30004LA,AR42250,5,2011-12-31,2015-12-31
BANCO DE GUAYAQUIL SA,30009LE,EC15266,4,2013-12-31,2016-12-31
BANCO DE GUAYAQUIL SA,30009LE,EC30844,5,2011-12-31,2015-12-31
BANCO DE GUAYAQUIL SA,30009LE,ECB2872,12,2003-12-31,2016-12-31
